Wavelength (nm),alina_aged_oil_BHT_0_8,alina_fresh_oil,alina_fresh_oil_BHT_0_8,alina_aged_oil_BHT_0_8_t_28_55,alina_aged_oil_BHT_0_8_t_31_25,alina_aged_oil_BHT_0_8_t_32_15,alina_aged_oil_BHT_0_8_t_37_25,alina_aged_oil_BHT_0_8_t_44_5,alina_aged_oil_BHT_0_8_t_50,alina_aged_oil_BHT_0_8_t_59
340.0,-0.034655330190582916,-0.006245918533976695,0.010690034623608388,-0.0017280636927082637,0.005202643783101406,0.01970961829591191,-0.015472572431747518,0.01614153561097546,-0.011688712858317261,-0.0016248670859251913
341.0,0.007770109163575678,-0.002795515942130011,0.01546849359843688,0.0015080272039642646,0.021387120114649442,-0.005426317161308997,0.010276646784581693,-0.0021730728077230844,0.017010085355360003,0.031174283496731424
342.0,0.05122615886297096,0.013850548606530674,0.030401503913991677,0.015835492810067336,0.04346952814342698,-0.01203851851633874,0.03857657426138909,0.001019573268262717,0.03908794474140016,0.0651836554017271
343.0,0.09491856578255978,0.04195480762250053,0.054591774695318174,0.03925973568814072,0.07014469345232723,-0.002776133181082715,0.06852942752270423,0.021792906030674745,0.05601303664855208,0.09960689174524752
344.0,0.13805307679729903,0.07977979361627473,0.08714201506746175,0.06978615840072419,0.10010744162424333,0.019711691432553684,0.09923742409255669,0.056220357671254925,0.06925353242556462,0.13364763564347834
345.0,0.17983543878214556,0.12558803909834848,0.1271549341554678,0.10542016351035752,0.1320525982420685,0.052775807912665076,0.129802781494976,0.10037536038174512,0.08027760342118664,0.16650953021260523
346.0,0.21947139861205628,0.17764207657921688,0.17373324108438176,0.14416715357958051,0.16467498888869592,0.09376706884734592,0.15932771725399178,0.15033134635388726,0.09055342098416705,0.1973962185688139
347.0,0.25616670316198953,0.23420443856937637,0.22597964497925,0.184032531170934,0.19666943914701987,0.1400363268246919,0.18691444889363457,0.20216174777942392,0.10154915646325542,0.22551134382829124
348.0,0.2842646912575676,0.2934720719009598,0.2873810031145555,0.2125730606548098,0.22177132056289856,0.1696702361685533,0.18435827104612024,0.2291056395731753,0.11763399351560531,0.2369271046229006
349.0,0.3067933272036963,0.3529070597230185,0.3514935771133657,0.2343680769491407,0.2416646192707361,0.21973118495341093,0.21170726788973454,0.272829406206086,0.1430266610391324,0.2611582385704099
350.0,0.3360112882137474,0.41515698218065455,0.4169875553413449,0.27949498683716734,0.25852129054198913,0.27938627783406855,0.23006275782468433,0.3005947933377301,0.17916027665770423,0.28189828427507413
351.0,0.3617151465764187,0.4665196050371053,0.4743172878857639,0.3173324163298991,0.28202496465023885,0.3432081925265143,0.28218829957854374,0.33225759486042844,0.20386551292968208,0.2946404030107626
352.0,0.37411488034665524,0.5091447309068777,0.5307333378315998,0.32798842908504444,0.2978835892366972,0.37301491452520774,0.2925791680137446,0.34148234126463956,0.22671619002603594,0.2937259416472664
353.0,0.3835066034570083,0.5624159598812455,0.5771083886535769,0.3382084773582857,0.31123517016362784,0.39642645414546096,0.3082880992766625,0.36930436590960175,0.22854629887901598,0.28563906884416956
354.0,0.3859914954964128,0.5977124248960349,0.6412964309748888,0.3872182223055606,0.33427503087821875,0.42393332405500705,0.3155804043067727,0.3927816757220754,0.25871172191218417,0.2970593385633269
355.0,0.4081605453130708,0.6530797359684233,0.6780493717002292,0.42400894491571595,0.36408622687491554,0.4622539113335389,0.33786052990545457,0.40590381336103637,0.2872476464716497,0.3402411829586522
356.0,0.44945521188205106,0.6833813681383721,0.6916703516242383,0.4663117687273115,0.3943574863937017,0.5019693937367065,0.38755656081079815,0.4033908083676223,0.3320625955097888,0.3719447935402918
357.0,0.4468658759659553,0.7022766942129812,0.6981381591121396,0.4833430098363497,0.4311695493893395,0.5019106146756553,0.4371425108451625,0.4213411165220573,0.3538128694623085,0.41281591972368137
358.0,0.49126421981327695,0.7316679328183394,0.734525120450089,0.5397227366939668,0.476955359811158,0.52316058718459,0.48346354334394814,0.47990878010505,0.3890538029074233,0.44925823478159854
359.0,0.49533676466904,0.7394778126088798,0.7527725746312816,0.5911068713806686,0.5108156397241401,0.5574603083650331,0.50607238112043,0.5101692545289409,0.43674510811302886,0.5248568834765577
360.0,0.5148189633472802,0.7650435734105725,0.7902799082586749,0.6211727810916388,0.529012396374858,0.5833652648962457,0.5262856898399116,0.5502094290041264,0.46409205872839804,0.5686220968184417
361.0,0.5090192072597863,0.8110185736810068,0.8267137138816752,0.6345710862885683,0.5423730526237628,0.5793310248547479,0.5148488302723231,0.5828864893831578,0.47383899283179953,0.605957668675835
