100.582	1999.5
101.867	1951
103.152	1991
104.437	2006.5
105.721	2019
107.004	1977.5
108.287	2020
109.571	2020.5
110.853	2018
112.136	2033
113.418	2070.5
114.7	2035
115.981	2074
117.262	2024.5
118.543	2032
119.823	1987
121.103	1992
122.383	2028
123.663	1969
124.942	1939
126.221	1990
127.499	1990
128.777	1929
130.056	1911.5
131.333	1927
132.61	1918
133.887	1907
135.163	1908.5
136.439	1882.5
137.715	1922.5
138.992	1906.5
140.267	1926
141.541	1903
142.816	1854
144.09	1810
145.364	1818
146.637	1812
147.911	1808
149.184	1734.5
150.457	1817
151.729	1761
153.001	1722
154.273	1687
155.544	1752
156.815	1687
158.086	1693.5
159.356	1716
160.626	1678
161.896	1697.5
163.165	1687.5
164.434	1627.5
165.703	1664.5
166.971	1648
168.24	1646.5
169.507	1644.5
170.774	1609.5
172.042	1611
173.309	1594
174.575	1571
175.841	1571
177.107	1538.5
178.373	1602
179.637	1518
180.902	1520.5
182.167	1559
183.431	1522
184.695	1494
185.958	1455.5
187.222	1509
188.485	1444
189.747	1470
191.009	1456.5
192.272	1443.5
193.534	1425
194.795	1431.5
196.055	1481
197.316	1433
198.577	1427.5
199.837	1434.5
201.096	1406.5
202.356	1472.5
203.615	1441
204.873	1446.5
206.132	1406
207.39	1426
208.648	1469
209.905	1432
211.162	1429
212.419	1407.5
213.675	1415.5
214.932	1450
216.187	1423
217.443	1379.5
218.697	1356.5
219.953	1370.5
221.207	1320
222.462	1331
223.715	1378.5
224.969	1359
226.222	1333
227.475	1345.5
228.727	1332.5
229.98	1294
231.232	1302.5
232.483	1362
233.734	1345.5
234.986	1340
236.236	1362.5
237.486	1309
238.737	1320
239.986	1325.5
241.235	1379.5
242.484	1358
243.733	1365.5
244.981	1370
246.229	1406.5
247.477	1438.5
248.725	1434.5
249.971	1437.5
251.219	1484
252.465	1400
253.711	1439
254.957	1358
256.203	1311.5
257.448	1324
258.693	1319
259.937	1380.5
261.181	1302.5
262.425	1281.5
263.669	1272.5
264.912	1292.5
266.155	1297
267.398	1279
268.64	1246.5
269.881	1271
271.123	1279
272.364	1247.5
273.605	1229.5
274.846	1251
276.086	1270.5
277.326	1256
278.566	1236.5
279.806	1262.5
281.045	1250.5
282.283	1253
283.522	1237.5
284.76	1226
285.998	1222
287.235	1214
288.473	1221.5
289.71	1208.5
290.946	1220
292.182	1214
293.418	1188.5
294.654	1185.5
295.888	1180
297.123	1225
298.358	1211
299.592	1180
300.826	1218.5
302.06	1196
303.293	1190
304.526	1176.5
305.759	1197.5
306.991	1183
308.223	1173.5
309.455	1183.5
310.687	1167
311.917	1174.5
313.148	1132
314.379	1104.5
315.609	1123.5
316.839	1118.5
318.068	1117
319.297	1163.5
320.526	1145
321.754	1105.5
322.982	1121
324.21	1140.5
325.438	1100.5
326.665	1115
327.892	1110.5
329.118	1086
330.345	1105
331.571	1112
332.797	1110.5
334.022	1094
335.247	1073
336.471	1084
337.696	1071
338.92	1101
340.144	1050.5
341.367	1071.5
342.591	1069
343.813	1057.5
345.036	1067.5
346.257	1053
347.48	1048.5
348.701	1064.5
349.922	1049.5
351.143	1036.5
352.363	1026
353.583	1037
354.803	1042
356.023	1040.5
357.243	1049
358.462	1036.5
359.68	1014.5
360.899	1002
362.117	994
363.334	1030.5
364.551	1026
365.769	1007
366.986	996.5
368.202	982.5
369.418	995
370.633	980
371.849	1013
373.065	999
374.279	982
375.494	972
376.708	999.5
377.921	962
379.136	957.5
380.349	980.5
381.562	970.5
382.774	940
383.987	899
385.198	936.5
386.41	976
387.621	944
388.832	935.5
390.043	971
391.253	919
392.463	958
393.674	942
394.883	942.5
396.092	957
397.301	945.5
398.509	936.5
399.717	959
400.925	935
402.133	968
403.34	956.5
404.547	959
405.753	898.5
406.96	939
408.165	918.5
409.371	941
410.576	938.5
411.781	937
412.986	935.5
414.191	906
415.394	927
416.598	894
417.802	926
419.005	932.5
420.208	958
421.41	955.5
422.613	904
423.815	895.5
425.016	928
426.217	877
427.418	879.5
428.619	939.5
429.818	933.5
431.019	917
432.218	919.5
433.418	925.5
434.617	919.5
435.815	918.5
437.014	931.5
438.212	948.5
439.41	911.5
440.607	904.5
441.805	923
