Sample,A_M (2500–3000 cm^-1)
0.08% BHT,0.1917776295476683
0.5% BHT,5.441442734313281
0.8% BHT,9.607229656267563
1.0% BHT,-4.124229739531336
0.0% BHT,7.7667429920824365
0.08% BHT + Au,1.5438102386994252
0.008% BHT + Au,-4.336332077666942
